,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series7_Calu3_Mock_1,Series7_Calu3_Mock_2,Series7_Calu3_Mock_3,Series7_Calu3_SARS-CoV-2_1,Series7_Calu3_SARS-CoV-2_2,Series7_Calu3_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_SARS-CoV-2_Rux_1,Series16_A549-ACE2_SARS-CoV-2_Rux_2,Series16_A549-ACE2_SARS-CoV-2_Rux_3
WASH7P,37,4,22,1,2,25,60,84,47,32,41,0,11,7,2,6,5,12,6,8
LOC729737,13,2,18,9,2,65,184,435,271,137,265,1,2,2,0,0,1,4,0,2
LOC100133331,26,2,19,9,3,4,14,30,14,12,23,2,10,5,4,1,4,9,2,4
LINC00115,44,3,28,105,24,4,12,22,12,1,10,2,14,8,45,63,75,85,86,70
SAMD11,341,29,234,171,56,0,8,10,3,5,6,4,37,38,11,9,6,14,10,5
NOC2L,2072,191,1566,368,114,916,2198,4414,1302,616,1325,159,802,592,106,98,103,198,169,110
KLHL17,199,20,167,71,24,69,163,244,106,61,111,8,47,37,21,9,17,30,29,14
PLEKHN1,61,9,41,14,9,45,109,227,136,58,156,6,9,11,8,8,18,15,15,10
HES4,104,8,121,43,37,228,546,852,361,347,844,4,35,34,24,34,30,16,21,14
ISG15,84,7,63,30,6,518,1387,2423,7505,3781,8180,12,93,46,471,540,416,55,25,16
AGRN,8375,837,6372,1574,600,6532,14378,31240,14808,8116,18996,522,2908,2134,904,1022,1008,1193,761,617
RNF223,0,0,1,0,0,35,56,116,106,65,158,0,1,1,0,2,1,1,0,0
C1orf159,175,19,143,32,11,137,344,737,160,106,238,4,62,61,9,13,9,21,10,9
SDF4,2368,226,1738,421,171,2506,5599,10424,3589,2122,4390,283,1251,884,235,233,208,409,304,230
B3GALT6,456,52,374,135,54,243,602,1172,288,211,447,33,190,148,65,63,70,86,74,52
UBE2J2,565,43,354,163,43,251,563,1074,402,259,468,51,210,174,77,72,79,115,104,96
SCNN1D,90,7,53,13,7,13,14,48,16,10,28,1,8,8,2,2,6,25,6,5
ACAP3,711,62,560,145,46,189,568,1129,278,157,362,33,156,118,35,36,35,90,63,54
PUSL1,247,21,169,40,20,197,490,873,262,126,339,16,88,53,14,13,18,34,15,18
DVL1,1211,139,946,328,115,673,1737,3524,1447,709,1644,68,331,246,127,132,166,244,150,126
MXRA8,8,0,5,9,3,1,11,26,6,13,11,3,14,14,10,14,7,22,13,8
AURKAIP1,1235,82,771,202,86,732,2021,3380,736,446,956,108,499,458,58,67,57,86,89,53
CCNL2,3038,228,2068,629,158,352,793,1731,740,437,791,170,857,775,276,348,330,495,437,331
LOC148413,324,32,232,99,29,143,270,629,219,94,256,47,146,166,52,65,55,116,86,73
MRPL20,1385,116,903,269,60,507,1114,2108,649,308,602,132,616,511,97,101,88,144,143,109
VWA1,75,8,67,31,7,1295,3195,6371,987,709,1533,24,133,99,22,28,20,19,23,20
ATAD3C,0,0,0,0,0,4,10,24,11,4,9,0,0,1,0,0,0,0,0,0
ATAD3B,43,2,29,8,1,202,488,988,290,140,319,3,20,11,3,2,2,5,3,3
ATAD3A,547,51,365,103,29,434,1011,1866,507,206,603,36,219,153,24,36,22,58,42,26
TMEM240,3,1,0,1,0,6,18,26,6,7,13,0,2,2,0,0,0,0,0,0
SSU72,976,76,765,235,78,769,1675,3393,1239,666,1404,213,890,699,323,374,390,510,519,402
MIB2,715,61,617,176,98,153,481,803,170,119,293,26,122,61,30,25,33,61,20,18
CDK11B,344,31,224,100,29,167,305,621,273,154,290,34,202,146,77,63,79,136,107,79
SLC35E2B,725,67,480,114,31,298,472,1306,616,348,622,61,270,261,68,59,68,110,88,61
CDK11A,228,18,150,83,18,57,87,212,129,55,115,23,95,52,49,41,56,88,89,50
NADK,688,72,500,124,44,401,869,1833,1114,539,1278,68,371,303,91,114,120,147,141,91
GNB1,3699,306,2668,625,228,2374,4307,10122,5748,2941,5752,454,2358,1955,644,699,664,988,1029,794
TMEM52,2,1,11,1,0,3,18,47,5,2,3,3,6,6,1,0,1,1,2,1
PRKCZ,444,37,354,60,19,143,300,561,218,133,247,23,113,110,40,28,21,57,19,41
SKI,313,31,215,152,39,233,415,1053,454,244,486,26,191,152,70,68,94,124,113,92
MORN1,92,13,82,16,10,26,62,182,41,29,66,8,47,47,12,8,6,19,9,5
LOC100129534,33,4,8,6,0,9,18,38,8,6,16,1,20,22,1,4,2,7,5,4
RER1,1553,160,1076,242,96,1012,2126,4139,1303,770,1516,202,956,771,202,244,217,325,300,226
PEX10,464,46,335,89,32,168,387,810,282,168,400,24,82,66,24,22,27,36,22,11
PLCH2,3,0,3,2,1,5,16,28,46,14,58,1,1,1,0,0,1,0,0,1
