Sample_ID,Series,Cell_Type,Condition,Virus,Library_Size
Series1_NHBE_Mock_1,Series1,NHBE,Mock,None,11258863
Series1_NHBE_Mock_2,Series1,NHBE,Mock,None,10256909
Series1_NHBE_Mock_3,Series1,NHBE,Mock,None,16601859
Series1_NHBE_SARS-CoV-2_1,Series1,NHBE,Infected,SARS-CoV-2,10195139
Series1_NHBE_SARS-CoV-2_2,Series1,NHBE,Infected,SARS-CoV-2,9904002
Series1_NHBE_SARS-CoV-2_3,Series1,NHBE,Infected,SARS-CoV-2,29316471
Series2_A549_Mock_1,Series2,A549,Mock,None,19151454
Series2_A549_Mock_2,Series2,A549,Mock,None,10691350
Series2_A549_Mock_3,Series2,A549,Mock,None,8064247
Series2_A549_SARS-CoV-2_1,Series2,A549,Infected,SARS-CoV-2,24453839
Series2_A549_SARS-CoV-2_2,Series2,A549,Infected,SARS-CoV-2,20075680
Series2_A549_SARS-CoV-2_3,Series2,A549,Infected,SARS-CoV-2,14873096
Series3_A549_Mock_1,Series3,A549,Mock,None,19170331
Series3_A549_Mock_2,Series3,A549,Mock,None,15473405
Series3_A549_RSV_1,Series3,A549,Infected,RSV,6144863
Series3_A549_RSV_2,Series3,A549,Infected,RSV,3953759
Series4_A549_Mock_1,Series4,A549,Mock,None,3584566
Series4_A549_Mock_2,Series4,A549,Mock,None,7261147
Series4_A549_IAV_1,Series4,A549,Infected,IAV,7410536
Series4_A549_IAV_2,Series4,A549,Infected,IAV,1798364
Series5_A549_Mock_1,Series5,A549,Mock,None,18259438
Series5_A549_Mock_2,Series5,A549,Mock,None,17043577
Series5_A549_Mock_3,Series5,A549,Mock,None,15816732
Series5_A549_SARS-CoV-2_1,Series5,A549,Infected,SARS-CoV-2,16384420
Series5_A549_SARS-CoV-2_2,Series5,A549,Infected,SARS-CoV-2,18119045
Series5_A549_SARS-CoV-2_3,Series5,A549,Infected,SARS-CoV-2,31361857
Series6_A549-ACE2_Mock_1,Series6,A549-ACE2,Mock,None,17253491
Series6_A549-ACE2_Mock_2,Series6,A549-ACE2,Mock,None,1587543
Series6_A549-ACE2_Mock_3,Series6,A549-ACE2,Mock,None,11404895
Series6_A549-ACE2_SARS-CoV-2_1,Series6,A549-ACE2,Infected,SARS-CoV-2,3679337
Series6_A549-ACE2_SARS-CoV-2_2,Series6,A549-ACE2,Infected,SARS-CoV-2,1055641
Series6_A549-ACE2_SARS-CoV-2_3,Series6,A549-ACE2,Infected,SARS-CoV-2,946312
Series7_Calu3_Mock_1,Series7,Calu3,Mock,None,7040604
Series7_Calu3_Mock_2,Series7,Calu3,Mock,None,12743206
