Gene,BaseMean,Log2FoldChange,Mean_Mock,Mean_Infected,Statistic,PValue,FDR,Significance
IFNB1,3.548313159328337,6.470915918269225,0.3128552001937245,6.7837711184629494,4.740579188918729,0.0019174579976840378,0.021623098645451616,Upregulated
EGR1,7.200806562514627,6.189342000666227,4.106135562181513,10.29547756284774,6.554600712933246,0.00013114610740471938,0.004209790047691492,Upregulated
IL1A,6.723705669557683,5.73055774182129,3.858426798647038,9.588984540468328,4.088854255079565,0.000978668617110069,0.014241968821726987,Upregulated
CCL20,7.868837265484911,5.610950059866239,5.063362235551791,10.67431229541803,5.198351108580432,0.0005868062337616303,0.010519073304690627,Upregulated
IFNL2,2.880967738634199,5.561321675860658,0.10030690070387065,5.661628576564528,4.2682583030195955,0.003609229975692265,0.03253964817405639,Upregulated
TNF,4.301257237708739,5.5562908244501825,1.5231118254836475,7.07940264993383,7.1883541526778085,8.721137070077014e-06,0.0008301921032984347,Upregulated
IFNL3,2.823210713963879,5.357556470056145,0.14443247893580702,5.501988948991952,4.221661770576643,0.0037888432657031774,0.03333167851912107,Upregulated
IFNL1,3.1777327597322196,5.304492386862772,0.525486566300834,5.8299789531636055,3.8331421528740224,0.005508584290408906,0.04166147596448091,Upregulated
CXCL2,9.231747200036583,5.2289847460805365,6.617254826996314,11.84623957307685,8.055087140900255,1.428954398972548e-05,0.001137771600380096,Upregulated
CMPK2,5.567103775979341,5.153083487112128,2.9905620324232762,8.143645519535404,3.594071468442024,0.0031570607057069644,0.029924981270120644,Upregulated
OAS2,6.307970592918792,4.947773656333524,3.8340837647520303,8.781857421085554,2.689616225717321,0.018746244836259116,0.09123921631695507,Not Significant
OASL,6.241550385441812,4.888213772204381,3.7974434993396216,8.685657271544002,2.38590601222484,0.032307020215204395,0.13073403694824576,Not Significant
RSAD2,5.035171360614887,4.879645104976433,2.595348808126671,7.474993913103104,2.510861421128873,0.028539834230611502,0.11984646543508687,Not Significant
IFIT2,8.828430243766212,4.840871314668579,6.407994586431922,11.248865901100501,4.030813486828141,0.0027556817076272045,0.027503018517988653,Upregulated
C11orf96,3.389364006955843,4.808764911007951,0.9849815514518679,5.7937464624598185,7.911508139751435,8.338448371473144e-06,0.0008104533249305448,Upregulated
TNFAIP3,9.632063673564492,4.765753459232666,7.249186943948159,12.014940403180825,7.459779508855226,3.339259825580269e-06,0.0004903383337498346,Upregulated
PPP4R4,4.029645767243139,4.642033877993532,1.7086288282463724,6.350662706239905,5.292389736087021,0.00014106862645894684,0.004435467542170486,Upregulated
MX2,4.709074093908111,4.638795897815401,2.389676145000411,7.028472042815811,2.600118820066664,0.025547539297387914,0.11131239631042243,Not Significant
EGR2,4.337620188967845,4.6198308387705715,2.02770476958256,6.647535608353131,9.137033544118635,4.81657222080319e-07,0.000167475168827026,Upregulated
CYP1A1,4.096002101800298,4.531486010114048,1.8302590967432737,6.361745106857322,3.265841200285747,0.008963126172833161,0.05644070737391247,Not Significant
SELE,2.5781135159760384,4.516795377924065,0.3197158270140064,4.836511204938071,8.196184785823073,2.386502583324796e-05,0.0015321346584945192,Upregulated
IL6,5.128687068796092,4.462783849810209,2.897295143890987,7.360078993701196,3.3198578794222082,0.00595687920016609,0.04368905611046363,Upregulated
IFIT1,8.454280849600234,4.41059900837496,6.248981345412754,10.659580353787714,3.4451200903693833,0.0074752781411764275,0.05040608899983303,Not Significant
CXCL3,8.589999408122546,4.410573096215663,6.384712860014715,10.795285956230378,5.554177638878895,0.00015657723135920678,0.0047499681856068825,Upregulated
CSF2,3.1086172382918185,4.320561782412654,0.9483363470854916,5.268898129498146,3.2580525659871222,0.011529464895915031,0.06658627780682642,Not Significant
CXCL11,3.3814218616977483,4.2894404547795215,1.236701634307987,5.526142089087509,3.1241505526915794,0.011126264076837027,0.06493692306663065,Not Significant
XAF1,4.414548458540974,4.263611629141494,2.282742643970227,6.546354273111721,3.1005402328645273,0.01076120201633231,0.06350849256769962,Not Significant
IFIT3,8.231993086267455,4.223635312395074,6.120175430069918,10.343810742464992,3.787035950688926,0.005234521412543891,0.04050005552541666,Upregulated
NFKBIA,10.986456519958839,4.214678914802958,8.87911706255736,13.093795977360317,10.09487123468074,3.765979853334303e-07,0.0001485194854730668,Upregulated
IFI44,5.941048583979087,4.20084244365715,3.8406273621505114,8.041469805807662,2.1818857173934134,0.04648640825047213,0.16727179086016394,Not Significant
LTB,4.344935534305289,4.187057364962536,2.2514068518240213,6.438464216786557,7.230739841975686,2.8191393727036493e-05,0.0016700678438381319,Upregulated
IFI44L,4.733407427259655,4.158024392637481,2.6543952309409145,6.812419623578395,2.226229611762926,0.04544514256374341,0.16459703563562064,Not Significant
PPP1R15A,11.181652050501091,4.088209009640995,9.137547545680594,13.225756555321588,13.671700361367247,1.415499635158952e-06,0.00030528346037654705,Upregulated
NR1D1,8.447490279805592,4.057192097242748,6.418894231184218,10.476086328426966,10.621548310745457,2.2625381874834817e-08,2.2307010429881786e-05,Upregulated
BHLHE41,6.600395683339885,3.964713700484122,4.618038833097824,8.582752533581946,6.362954993543938,1.8083483256093687e-05,0.0013038206238382562,Upregulated
IRF7,6.724243971094783,3.9301722591523074,4.759157841518629,8.689330100670936,3.5463939297693963,0.0030210394192398465,0.029099376904234194,Upregulated
PTX3,4.920617213606521,3.928945666372669,2.9561443804201866,6.885090046792856,4.160905540488278,0.0008364737975001608,0.01284298979632338,Upregulated
FOSB,6.131813819213455,3.9016246156943186,4.181001511366295,8.082626127060614,18.614825886860487,9.538122553288449e-12,1.3165470560304046e-07,Upregulated
ARRDC3,10.16712306797652,3.874887743959068,8.229679195996987,12.104566939956054,5.281016646404556,0.00011112242147193736,0.00382056712384326,Upregulated
CXCL10,3.5605720382689077,3.8711942348350643,1.6249749208513753,5.49616915568644,2.545407586450706,0.030375494569924034,0.1252341504695272,Not Significant
PER1,7.852659658847813,3.8187098357014966,5.943304740997065,9.762014576698562,9.505133648802223,1.442512715109156e-05,0.001137771600380096,Upregulated
ATF3,8.96736276178908,3.7686513631415046,7.083037080218327,10.851688443359832,9.437853490699796,1.2707303366100175e-07,7.015956334491228e-05,Upregulated
CSF3,2.9091445519826467,3.721890251334831,1.048199426315231,4.770089677650062,8.361982269967653,5.078549284207101e-07,0.000167475168827026,Upregulated
IFIH1,7.3544235338328905,3.7128243418117837,5.498011362926999,9.210835704738782,2.698267292727729,0.02080802359879955,0.09742970007847357,Not Significant
NR4A3,3.6340495611172305,3.687377166480661,1.7903609778769,5.477738144357561,6.153300892713277,2.1938286234841177e-05,0.0014351382222725724,Upregulated
SERPINA10,2.102777770363001,3.5519457865194335,0.32680487710328443,3.878750663622718,6.519298224110645,0.0001067539329064757,0.0037671005678456305,Upregulated
CXCL1,9.736271072106497,3.5346227583627225,7.968959692925136,11.503582451287858,3.124938273848027,0.010894640963079552,0.0641000550781701,Not Significant
EFNA1,9.058761391459253,3.5151689274534856,7.301176927732511,10.816345855185997,5.301195164710811,0.00018159750307633298,0.005288165263634228,Upregulated
IFITM1,4.946513650204162,3.486939246770554,3.203044026818885,6.689983273589439,2.0638030606819733,0.06304793882187502,0.20280836624524376,Not Significant
PCK1,3.361200249174787,3.439532505123112,1.641433996613231,5.080966501736343,5.234566304785048,0.00012360224704257482,0.004091323299589113,Upregulated
CH25H,2.4320719782844127,3.428437896698198,0.7178530299353136,4.146290926633512,2.6205413129756536,0.03306001259182069,0.13292378497084212,Not Significant
MAFF,8.555614118754722,3.426817074229618,6.842205581639913,10.26902265586953,5.50239823676248,0.00011482609538296817,0.0038846681239487982,Upregulated
UBASH3A,2.1200826740459955,3.424651337006364,0.4077570055428134,3.8324083425491775,5.6933976632620125,0.00026615540800868653,0.006560255529899822,Upregulated
ZBP1,2.742997078880225,3.4183020229815906,1.0338460673894296,4.45214809037102,2.604788210521897,0.03034638768962228,0.12518565130898276,Not Significant
MX1,6.897642899058667,3.41749812051674,5.188893838800297,8.606391959317037,1.606385600642167,0.137984568826398,0.3367360857349931,Not Significant
GBP4,4.472613074269211,3.3950827589797306,2.775071694779346,6.170154453759077,2.002511021173292,0.07005291912789219,0.21765087106486952,Not Significant
CD274,4.788609743602679,3.321432234468313,3.1278936263685226,6.449325860836836,2.7488707317313548,0.024823732446076857,0.10936545769332871,Not Significant
NFKBIZ,9.184027126068786,3.296284654890858,7.535884798623357,10.832169453514215,6.263393694644802,1.6213891577515106e-05,0.0012163062252415272,Upregulated
BRE-AS1,4.010368739546422,3.2928016815041055,2.3639678987943693,5.656769580298475,6.112619754038497,0.00014292202502877427,0.004453166391585037,Upregulated
IKZF3,4.168407820654871,3.2659202348983225,2.53544770320571,5.801367938104033,1.9451229546693216,0.0722706797999252,0.2220166826114438,Not Significant
DUSP8,8.111952968971275,3.261937468590035,6.480984234676257,9.742921703266292,9.834803950086927,4.280181821000935e-06,0.0005626604730978658,Upregulated
ICAM1,9.461151883226119,3.261576048306976,7.830363859072632,11.091939907379608,2.513167384416174,0.02412751643983539,0.10767284494634591,Not Significant
NEURL3,6.194393032206802,3.2541519424914025,4.567317060961101,7.821469003452504,4.51615652294308,0.00046343709581533784,0.009161574824029822,Upregulated
EPSTI1,3.6257604567128907,3.2524376553254593,1.999541629050161,5.25197928437562,2.1620170608411313,0.053617481979857995,0.1827008913084252,Not Significant
ZNF57,6.456569692108814,3.240266739617743,4.836436322299942,8.076703061917685,3.7868708129952626,0.006297290620849385,0.045437272576886595,Upregulated
BATF2,5.314680483956952,3.2164331150741075,3.706463926419898,6.922897041494005,2.527595687974472,0.03311590129018628,0.1329721800848324,Not Significant
ZFP36,9.561465684262732,3.2144771133381838,7.95422712759364,11.168704240931824,13.606379745200986,4.850545167048128e-08,3.719559718931406e-05,Upregulated
HELZ2,8.855366073678159,3.2015449419251345,7.254593602715592,10.456138544640726,3.961245148216075,0.0018656217120212486,0.021176954351175406,Upregulated
INHBA,5.919082011593822,3.1776770710941484,4.330243476046748,7.5079205471408965,1.887952330235427,0.08072637066302489,0.2385756358472805,Not Significant
SAMD9L,6.616764493441359,3.1643148027546957,5.034607092064011,8.198921894818707,2.4828527291052334,0.029237740215639713,0.12166672541346847,Not Significant
NFKBID,5.708807196749671,3.1607628085144013,4.128425792492471,7.289188601006872,6.1724474208222455,2.5902855644464777e-05,0.0016033054549800328,Upregulated
