Gene,BaseMean,Log2FoldChange,Mean_Mock,Mean_Infected,Statistic,PValue,FDR,Significance
IFNB1,3.548313159328337,6.470915918269225,0.3128552001937245,6.7837711184629494,4.740579188918729,0.0019174579976840378,0.021623098645451616,Upregulated
EGR1,7.200806562514627,6.189342000666227,4.106135562181513,10.29547756284774,6.554600712933246,0.00013114610740471938,0.004209790047691492,Upregulated
IL1A,6.723705669557683,5.73055774182129,3.858426798647038,9.588984540468328,4.088854255079565,0.000978668617110069,0.014241968821726987,Upregulated
CCL20,7.868837265484911,5.610950059866239,5.063362235551791,10.67431229541803,5.198351108580432,0.0005868062337616303,0.010519073304690627,Upregulated
IFNL2,2.880967738634199,5.561321675860658,0.10030690070387065,5.661628576564528,4.2682583030195955,0.003609229975692265,0.03253964817405639,Upregulated
TNF,4.301257237708739,5.5562908244501825,1.5231118254836475,7.07940264993383,7.1883541526778085,8.721137070077014e-06,0.0008301921032984347,Upregulated
IFNL3,2.823210713963879,5.357556470056145,0.14443247893580702,5.501988948991952,4.221661770576643,0.0037888432657031774,0.03333167851912107,Upregulated
IFNL1,3.1777327597322196,5.304492386862772,0.525486566300834,5.8299789531636055,3.8331421528740224,0.005508584290408906,0.04166147596448091,Upregulated
CXCL2,9.231747200036583,5.2289847460805365,6.617254826996314,11.84623957307685,8.055087140900255,1.428954398972548e-05,0.001137771600380096,Upregulated
CMPK2,5.567103775979341,5.153083487112128,2.9905620324232762,8.143645519535404,3.594071468442024,0.0031570607057069644,0.029924981270120644,Upregulated
IFIT2,8.828430243766212,4.840871314668579,6.407994586431922,11.248865901100501,4.030813486828141,0.0027556817076272045,0.027503018517988653,Upregulated
C11orf96,3.389364006955843,4.808764911007951,0.9849815514518679,5.7937464624598185,7.911508139751435,8.338448371473144e-06,0.0008104533249305448,Upregulated
TNFAIP3,9.632063673564492,4.765753459232666,7.249186943948159,12.014940403180825,7.459779508855226,3.339259825580269e-06,0.0004903383337498346,Upregulated
PPP4R4,4.029645767243139,4.642033877993532,1.7086288282463724,6.350662706239905,5.292389736087021,0.00014106862645894684,0.004435467542170486,Upregulated
EGR2,4.337620188967845,4.6198308387705715,2.02770476958256,6.647535608353131,9.137033544118635,4.81657222080319e-07,0.000167475168827026,Upregulated
SELE,2.5781135159760384,4.516795377924065,0.3197158270140064,4.836511204938071,8.196184785823073,2.386502583324796e-05,0.0015321346584945192,Upregulated
IL6,5.128687068796092,4.462783849810209,2.897295143890987,7.360078993701196,3.3198578794222082,0.00595687920016609,0.04368905611046363,Upregulated
CXCL3,8.589999408122546,4.410573096215663,6.384712860014715,10.795285956230378,5.554177638878895,0.00015657723135920678,0.0047499681856068825,Upregulated
IFIT3,8.231993086267455,4.223635312395074,6.120175430069918,10.343810742464992,3.787035950688926,0.005234521412543891,0.04050005552541666,Upregulated
NFKBIA,10.986456519958839,4.214678914802958,8.87911706255736,13.093795977360317,10.09487123468074,3.765979853334303e-07,0.0001485194854730668,Upregulated
LTB,4.344935534305289,4.187057364962536,2.2514068518240213,6.438464216786557,7.230739841975686,2.8191393727036493e-05,0.0016700678438381319,Upregulated
PPP1R15A,11.181652050501091,4.088209009640995,9.137547545680594,13.225756555321588,13.671700361367247,1.415499635158952e-06,0.00030528346037654705,Upregulated
NR1D1,8.447490279805592,4.057192097242748,6.418894231184218,10.476086328426966,10.621548310745457,2.2625381874834817e-08,2.2307010429881786e-05,Upregulated
BHLHE41,6.600395683339885,3.964713700484122,4.618038833097824,8.582752533581946,6.362954993543938,1.8083483256093687e-05,0.0013038206238382562,Upregulated
IRF7,6.724243971094783,3.9301722591523074,4.759157841518629,8.689330100670936,3.5463939297693963,0.0030210394192398465,0.029099376904234194,Upregulated
PTX3,4.920617213606521,3.928945666372669,2.9561443804201866,6.885090046792856,4.160905540488278,0.0008364737975001608,0.01284298979632338,Upregulated
FOSB,6.131813819213455,3.9016246156943186,4.181001511366295,8.082626127060614,18.614825886860487,9.538122553288449e-12,1.3165470560304046e-07,Upregulated
ARRDC3,10.16712306797652,3.874887743959068,8.229679195996987,12.104566939956054,5.281016646404556,0.00011112242147193736,0.00382056712384326,Upregulated
PER1,7.852659658847813,3.8187098357014966,5.943304740997065,9.762014576698562,9.505133648802223,1.442512715109156e-05,0.001137771600380096,Upregulated
ATF3,8.96736276178908,3.7686513631415046,7.083037080218327,10.851688443359832,9.437853490699796,1.2707303366100175e-07,7.015956334491228e-05,Upregulated
CSF3,2.9091445519826467,3.721890251334831,1.048199426315231,4.770089677650062,8.361982269967653,5.078549284207101e-07,0.000167475168827026,Upregulated
NR4A3,3.6340495611172305,3.687377166480661,1.7903609778769,5.477738144357561,6.153300892713277,2.1938286234841177e-05,0.0014351382222725724,Upregulated
SERPINA10,2.102777770363001,3.5519457865194335,0.32680487710328443,3.878750663622718,6.519298224110645,0.0001067539329064757,0.0037671005678456305,Upregulated
EFNA1,9.058761391459253,3.5151689274534856,7.301176927732511,10.816345855185997,5.301195164710811,0.00018159750307633298,0.005288165263634228,Upregulated
PCK1,3.361200249174787,3.439532505123112,1.641433996613231,5.080966501736343,5.234566304785048,0.00012360224704257482,0.004091323299589113,Upregulated
MAFF,8.555614118754722,3.426817074229618,6.842205581639913,10.26902265586953,5.50239823676248,0.00011482609538296817,0.0038846681239487982,Upregulated
UBASH3A,2.1200826740459955,3.424651337006364,0.4077570055428134,3.8324083425491775,5.6933976632620125,0.00026615540800868653,0.006560255529899822,Upregulated
NFKBIZ,9.184027126068786,3.296284654890858,7.535884798623357,10.832169453514215,6.263393694644802,1.6213891577515106e-05,0.0012163062252415272,Upregulated
BRE-AS1,4.010368739546422,3.2928016815041055,2.3639678987943693,5.656769580298475,6.112619754038497,0.00014292202502877427,0.004453166391585037,Upregulated
DUSP8,8.111952968971275,3.261937468590035,6.480984234676257,9.742921703266292,9.834803950086927,4.280181821000935e-06,0.0005626604730978658,Upregulated
NEURL3,6.194393032206802,3.2541519424914025,4.567317060961101,7.821469003452504,4.51615652294308,0.00046343709581533784,0.009161574824029822,Upregulated
ZNF57,6.456569692108814,3.240266739617743,4.836436322299942,8.076703061917685,3.7868708129952626,0.006297290620849385,0.045437272576886595,Upregulated
ZFP36,9.561465684262732,3.2144771133381838,7.95422712759364,11.168704240931824,13.606379745200986,4.850545167048128e-08,3.719559718931406e-05,Upregulated
HELZ2,8.855366073678159,3.2015449419251345,7.254593602715592,10.456138544640726,3.961245148216075,0.0018656217120212486,0.021176954351175406,Upregulated
NFKBID,5.708807196749671,3.1607628085144013,4.128425792492471,7.289188601006872,6.1724474208222455,2.5902855644464777e-05,0.0016033054549800328,Upregulated
TRIM22,6.831754041048276,3.1538539200813354,5.254827081007608,8.408681001088944,5.1498115160414395,0.0003336866562166114,0.007538260091256771,Upregulated
ZBTB10,7.5873905091139076,3.122388815168102,6.026196101529856,9.148584916697958,6.268035098075659,8.162826071705179e-05,0.0031649294457232187,Upregulated
CSRNP1,8.93092059403429,3.0854641481299385,7.3881885199693205,10.473652668099259,5.769056843620755,0.0002270929021765768,0.005914270431591113,Upregulated
IRF1,9.300050867880543,3.0568703403673316,7.771615697696878,10.82848603806421,13.448545694942593,5.459959861780895e-07,0.000167475168827026,Upregulated
ICAM5,4.640740508049785,3.0459971344749306,3.11774194081232,6.163739075287251,6.409148835595287,0.00010698423694816251,0.0037671005678456305,Upregulated
HIF1A-AS2,2.2513183590021377,3.0367234199752136,0.7329566490145312,3.7696800689897447,4.910749034541305,0.000516597852304769,0.009788062536253472,Upregulated
SLCO5A1,2.553133744843418,3.033694470014609,1.0362865098361136,4.0699809798507225,5.806375499711342,4.961396311195656e-05,0.0023533386008052796,Upregulated
IER3,11.236432634671328,3.016424172437871,9.728220548452393,12.744644720890264,6.506536776132728,1.0324213068936414e-05,0.0009308817736038469,Upregulated
ZNF77,5.827964417234069,2.994750632004668,4.330589101231735,7.325339733236403,3.9119161360715973,0.00495000738285325,0.03931240040593983,Upregulated
TIPARP,10.291897833405221,2.9905952390314603,8.79660021388949,11.787195452920951,5.302904058080672,0.0005009577199827714,0.009598715487601822,Upregulated
KCNN1,2.1932517999956254,2.9896814134864775,0.6984110932523867,3.6880925067388644,5.23352995508852,0.0002583801012762573,0.006425982951200324,Upregulated
GBP5,2.4333440059994658,2.980841396504069,0.942923307747431,3.9237647042515,3.577775916924086,0.005037260275652856,0.03965160757241697,Upregulated
USP18,6.839296316053549,2.945464355567114,5.366564138269992,8.312028493837106,4.023914114923516,0.003720195847233202,0.033236157462368854,Upregulated
LOC286059,2.718481041724819,2.8779782503779168,1.2794919165358603,4.157470166913777,6.357786755390089,2.5801377090135785e-05,0.0016033054549800328,Upregulated
PDZD2,2.317755495249575,2.877503903056221,0.8790035437214646,3.7565074467776856,4.243998127714831,0.001377366745271641,0.017683584525233623,Upregulated
CCL2,8.030712918371234,2.8499094264126974,6.605758205164886,9.455667631577583,6.860291903038967,5.431512218771084e-06,0.0006519231578756285,Upregulated
SNORA31,2.5885489820770213,2.844947086609033,1.1660754387725047,4.011022525381538,3.6178302754640885,0.005042845548002852,0.03965160757241697,Upregulated
PROX1,2.9080524461245276,2.8414614272115246,1.4873217325187653,4.32878315973029,3.6072659738596675,0.00397837231073261,0.0344069379730841,Upregulated
ZBTB20,4.030884433248014,2.8404777387609057,2.6106455638675614,5.451123302628467,8.343705211774513,1.4688833264669828e-05,0.0011459018395808252,Upregulated
DNAH17,5.213588389175704,2.825272395497086,3.8009521914271605,6.626224586924247,3.4364663135852997,0.00392047053724339,0.034126548847377515,Upregulated
GRHL1,5.996540500999685,2.818522494840929,4.58727925357922,7.405801748420149,4.572496469760578,0.00043415870878534235,0.00885183553524975,Upregulated
FOXC2,4.135413165569179,2.8052977256825273,2.7327643027279147,5.538062028410442,3.5041318134476165,0.003733078095209336,0.03328136100600768,Upregulated
HIST1H1E,3.0223186912757054,2.792690654949544,1.6259733638009335,4.418664018750477,6.0516462532342,2.7182617815831875e-05,0.001649042497072556,Upregulated
NFKBIE,7.73532263829152,2.773808488479501,6.3484183940517696,9.12222688253127,4.950019913510415,0.0007455669119205811,0.01213568406278276,Upregulated
ACTN2,1.8204318189996358,2.7673335310481386,0.43676505347556627,3.204098584523705,4.9237836464967035,0.00068863472976488,0.011550289022357555,Upregulated
