Gene,BaseMean,Log2FoldChange,Mean_Mock,Mean_Infected,Statistic,PValue,FDR,Significance
IFNB1,3.548313159328337,6.470915918269225,0.3128552001937245,6.7837711184629494,4.740579188918729,0.0019174579976840378,0.021623098645451616,Upregulated
EGR1,7.200806562514627,6.189342000666227,4.106135562181513,10.29547756284774,6.554600712933246,0.00013114610740471938,0.004209790047691492,Upregulated
IL1A,6.723705669557683,5.73055774182129,3.858426798647038,9.588984540468328,4.088854255079565,0.000978668617110069,0.014241968821726987,Upregulated
CCL20,7.868837265484911,5.610950059866239,5.063362235551791,10.67431229541803,5.198351108580432,0.0005868062337616303,0.010519073304690627,Upregulated
IFNL2,2.880967738634199,5.561321675860658,0.10030690070387065,5.661628576564528,4.2682583030195955,0.003609229975692265,0.03253964817405639,Upregulated
TNF,4.301257237708739,5.5562908244501825,1.5231118254836475,7.07940264993383,7.1883541526778085,8.721137070077014e-06,0.0008301921032984347,Upregulated
IFNL3,2.823210713963879,5.357556470056145,0.14443247893580702,5.501988948991952,4.221661770576643,0.0037888432657031774,0.03333167851912107,Upregulated
IFNL1,3.1777327597322196,5.304492386862772,0.525486566300834,5.8299789531636055,3.8331421528740224,0.005508584290408906,0.04166147596448091,Upregulated
CXCL2,9.231747200036583,5.2289847460805365,6.617254826996314,11.84623957307685,8.055087140900255,1.428954398972548e-05,0.001137771600380096,Upregulated
CMPK2,5.567103775979341,5.153083487112128,2.9905620324232762,8.143645519535404,3.594071468442024,0.0031570607057069644,0.029924981270120644,Upregulated
IFIT2,8.828430243766212,4.840871314668579,6.407994586431922,11.248865901100501,4.030813486828141,0.0027556817076272045,0.027503018517988653,Upregulated
C11orf96,3.389364006955843,4.808764911007951,0.9849815514518679,5.7937464624598185,7.911508139751435,8.338448371473144e-06,0.0008104533249305448,Upregulated
TNFAIP3,9.632063673564492,4.765753459232666,7.249186943948159,12.014940403180825,7.459779508855226,3.339259825580269e-06,0.0004903383337498346,Upregulated
PPP4R4,4.029645767243139,4.642033877993532,1.7086288282463724,6.350662706239905,5.292389736087021,0.00014106862645894684,0.004435467542170486,Upregulated
EGR2,4.337620188967845,4.6198308387705715,2.02770476958256,6.647535608353131,9.137033544118635,4.81657222080319e-07,0.000167475168827026,Upregulated
SELE,2.5781135159760384,4.516795377924065,0.3197158270140064,4.836511204938071,8.196184785823073,2.386502583324796e-05,0.0015321346584945192,Upregulated
IL6,5.128687068796092,4.462783849810209,2.897295143890987,7.360078993701196,3.3198578794222082,0.00595687920016609,0.04368905611046363,Upregulated
CXCL3,8.589999408122546,4.410573096215663,6.384712860014715,10.795285956230378,5.554177638878895,0.00015657723135920678,0.0047499681856068825,Upregulated
IFIT3,8.231993086267455,4.223635312395074,6.120175430069918,10.343810742464992,3.787035950688926,0.005234521412543891,0.04050005552541666,Upregulated
NFKBIA,10.986456519958839,4.214678914802958,8.87911706255736,13.093795977360317,10.09487123468074,3.765979853334303e-07,0.0001485194854730668,Upregulated
DDC,4.793998580854927,-3.0115944099829397,6.299795785846397,3.2882013758634576,-3.8339517016072517,0.0031838353005292403,0.03007972529309042,Downregulated
TM4SF4,8.40540938658799,-2.655571605617679,9.73319518939683,7.07762358377915,-3.9366314600465246,0.0027724668926218617,0.027610649725006896,Downregulated
CLDN2,7.561202868417035,-2.5114871374022467,8.816946437118158,6.305459299715912,-5.444508374573906,0.000510638645139386,0.009735283451462632,Downregulated
SLC17A4,1.963974647869128,-2.2407766200325305,3.0843629578853933,0.8435863378528627,-5.407141603783926,0.00011218284233500992,0.003832821219678569,Downregulated
OLFML2A,4.5017581508520275,-2.1290665573788066,5.5662914295414305,3.437224872162624,-3.352805004376885,0.005034041827501777,0.03965160757241697,Downregulated
EPHX1,9.203672154868944,-2.00504499865842,10.206194654198153,8.201149655539734,-4.691577870916487,0.00045770796095400307,0.009116512243936658,Downregulated
ROPN1L,1.517637676356918,-1.9970057126247087,2.5161405326692723,0.5191348200445636,-3.346524638748003,0.004662488001677123,0.03801520929379898,Downregulated
G6PD,11.03086504961868,-1.9883373500565398,12.02503372464695,10.03669637459041,-3.2115482853598025,0.005839106787784551,0.043215652006321804,Downregulated
HOGA1,5.373657585701276,-1.9511625190199098,6.3492388452112305,4.398076326191321,-6.73266788279538,3.169121411583588e-05,0.0017805653684548422,Downregulated
DUSP13,3.0497170400493596,-1.9343763500829976,4.016905215090858,2.082528865007861,-3.203521632250795,0.006977117838029191,0.048176667092704815,Downregulated
DEGS2,3.129021333379907,-1.8768886056506195,4.067465636205217,2.1905770305545973,-5.50383373785498,6.067347593883828e-05,0.002617112463699327,Downregulated
ZNF488,5.106316063036825,-1.8472532570811744,6.029942691577412,4.182689434496238,-5.134638609871661,0.0003193570637626354,0.007359074375819126,Downregulated
PHB,10.692987859099155,-1.816452065126306,11.601213891662308,9.784761826536002,-5.325344416110347,0.0006438346198901086,0.0111784267400543,Downregulated
TUBB4A,4.977975081572864,-1.807486432225513,5.88171829768562,4.074231865460107,-4.372471629488913,0.000566167816796783,0.010261428363973774,Downregulated
NDUFA2,8.118074041523595,-1.7641452182258819,9.000146650636536,7.236001432410654,-4.65950601270765,0.0015915113572988276,0.01951483258106386,Downregulated
CCDC74A,2.938222577178828,-1.7560241365041604,3.816234645430908,2.0602105089267475,-3.4030300163550753,0.00472527410211788,0.038321362180689246,Downregulated
HSD17B6,2.4105428129228983,-1.7484686420174778,3.284777133931637,1.5363084919141592,-5.059288667410485,0.00014988168652699057,0.004592167454586681,Downregulated
PHEX,2.42183824093728,-1.7472420090193803,3.2954592454469704,1.5482172364275901,-3.20986237346219,0.006002860640028355,0.04390963720949199,Downregulated
TM7SF2,7.2841566165046805,-1.7437349681434196,8.15602410057639,6.412289132432971,-3.619956668450279,0.0031624883106219238,0.029924981270120644,Downregulated
AGR2,10.158812182914843,-1.7098025705343076,11.013713468181997,9.30391089764769,-5.889014617310871,6.836449367631974e-05,0.0028363574110059006,Downregulated
