Term,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Regulation Of Transcription By RNA Polymerase II (GO:0006357),1.4878533999714696e-25,3.1825184225389736e-22,3.8773103112840466,221.65533428682062,CSF3;ZNF292;ZBTB21;ZBTB20;ARID4B;PRDM1;RBPJ;TNF;ETS2;ZFP36;ZC3H12A;EPC1;JUNB;IER2;ZNF441;SP110;FST;HCFC2;ZNF14;THAP1;DDIT3;ZNF799;ZNF436;ZNF555;ATF3;DLX2;FOXO1;HELZ2;MIER1;HIVEP1;ZSCAN12;HIVEP2;EGR1;EGR2;JUN;EGR3;EGR4;GADD45A;LIF;ZBTB10;NR1D1;POU2F2;NFKB1;NFKB2;FOSL1;EFNA1;NR4A2;NFKBIA;NR4A1;IL6;BMP2;ZBTB6;NR4A3;MAFF;BCL3;CREBRF;REL;MDM4;SP8;CPEB3;MXD1;CSRNP1;BHLHE41;ZNF44;CHD2;MYSM1;DBP;SIX4;ZNF764;NKX3-1;KLF10;KDM6B;KLF11;NOG;TET2;FOS;PROX1;ZNF57;ETV3;MED26;AEBP2;IRF1;TET3;IRF7;NCOA7;IRF9;FOXC2;NLRC5;ZBTB43;DLL1;RELB;ZNF627;HES1;HDX;STAT1;IFNB1;STAT2;ZNF77;ARID3B;GRHL1;KLF4;PER2;PER1;TBX15;MEIS1;KLF6;KLF9;FOSB
Regulation Of DNA-templated Transcription (GO:0006355),2.015465097059338e-19,2.1555399213049621e-16,3.3788828150863566,145.45504884463878,CSRNP1;BTG1;CDKN1B;ZNF292;BHLHE41;ZBTB21;ZNF44;ARID4B;PRDM1;RBPJ;CHD2;TNF;ETS2;DBP;SIX4;ZNF280B;EPC1;JUNB;ZNF488;TRIM22;NKX3-1;KLF10;ZNF441;KLF11;DTX3L;SP110;FOS;PROX1;HCFC2;ZNF57;ETV3;ZNF14;MED26;EREG;THAP1;AEBP2;IRF1;DDIT3;IRF7;NCOA7;ZNF799;ATF3;IRF9;ZNF430;FOXC2;INO80D;ZBTB43;BCL10;FOXO1;RELB;IFNL1;ZNF627;MIER1;HIVEP1;ZSCAN12;HES1;HIVEP2;HDX;EGR1;EGR2;JUN;EGR3;ZNF460;EGR4;STAT1;STAT2;ZBTB10;NR1D1;ARID3B;GRHL1;FOXN2;POU2F2;KLF4;NFKB1;NFKB2;FOSL1;PER2;NR4A2;PER1;NR4A1;TBX15;IL6;BMP2;KLF6;NR4A3;MAFF;BCL3;KLF9;CREBRF;REL;FOSB;MDM4;SP8;MXD1
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),1.4483702252999863e-17,1.0326879706388903e-14,4.202621457111916,162.95037517182718,CSRNP1;CSF3;RBPJ;MYSM1;TNF;ETS2;DBP;ZC3H12A;EPC1;JUNB;IER2;NKX3-1;KLF10;KDM6B;TET2;FOS;PROX1;MED26;IRF1;DDIT3;TET3;IRF7;NCOA7;ATF3;IRF9;FOXC2;NLRC5;DLL1;FOXO1;RELB;HELZ2;HIVEP1;HES1;EGR1;EGR2;JUN;EGR4;STAT1;IFNB1;STAT2;LIF;NR1D1;GRHL1;POU2F2;KLF4;NFKB1;NFKB2;NR4A2;NFKBIA;PER1;NR4A1;IL6;BMP2;MEIS1;KLF6;NR4A3;MAFF;BCL3;CREBRF;REL
Positive Regulation Of DNA-templated Transcription (GO:0045893),3.058132986235517e-15,1.6353366143894425e-12,3.461632232050761,115.69111321062651,CSRNP1;CSF3;RBPJ;MYSM1;TNF;ETS2;DBP;SIX4;ZC3H12A;EPC1;JUNB;IER2;NKX3-1;KLF10;KDM6B;DTX3L;TET2;FOS;PROX1;IRF1;DDIT3;TET3;IRF7;NCOA7;ATF3;IRF9;FOXC2;INO80D;NLRC5;BCL10;DLL1;FOXO1;RELB;HELZ2;IFNL1;HIVEP1;HES1;NGFR;EGR1;EGR2;JUN;EGR4;STAT1;IFNB1;STAT2;LIF;NR1D1;GRHL1;POU2F2;KLF4;NFKB1;NFKB2;FOSL1;NR4A2;NFKBIA;PER1;NR4A1;IL6;BMP2;MEIS1;KLF6;NR4A3;MAFF;BCL3;CREBRF;REL
Negative Regulation Of DNA-templated Transcription (GO:0045892),4.630781270865938e-14,1.9810482276764485e-11,3.5688090318772137,109.5748057252377,CDKN1B;ZC3H4;BHLHE41;ZBTB21;ZBTB20;ARID4B;PRDM1;RBPJ;TNF;ETS2;ZFP36;SIX4;EPC1;ZNF764;NKX3-1;KLF10;KLF11;FST;NOG;PROX1;HCFC2;EREG;THAP1;IRF1;DDIT3;IRF7;ZNF436;ZNF555;ATF3;FOXC2;DLX2;FOXO1;IFNL1;MIER1;HIVEP1;HES1;JUN;GADD45A;STAT1;ZBTB10;ZNF77;NR1D1;KLF4;NFKB1;PER2;EFNA1;NR4A2;PER1;BMP2;ZBTB6;NR4A3;MAFF;BCL3;FOSB;MDM4;CPEB3;MXD1
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),6.721401752831892e-14,2.3961797248845694e-11,4.00679446736229,121.52966057311029,FOXC2;DLX2;BHLHE41;ZBTB21;ZBTB20;ARID4B;PRDM1;RBPJ;TNF;ETS2;ZFP36;MIER1;HIVEP1;EPC1;HES1;ZNF764;KLF10;KLF11;JUN;GADD45A;STAT1;FST;NOG;ZBTB10;ZNF77;NR1D1;PROX1;HCFC2;KLF4;NFKB1;THAP1;PER2;EFNA1;NR4A2;PER1;BMP2;ZBTB6;NR4A3;DDIT3;MAFF;IRF7;FOSB;ZNF436;MDM4;CPEB3;ZNF555;MXD1;ATF3
Defense Response To Virus (GO:0051607),4.192484355073093e-11,1.2811034336430494e-08,7.073764534883721,169.02861185454134,GBP5;APOBEC3D;IFNB1;STAT1;STAT2;IFIT5;NLRC5;DDX60L;TNF;USP18;IFIT3;IFIT2;SENP7;IL6;IFNL2;IFNL1;ZNFX1;IRF1;IRF7;PMAIP1;IFNL3
Defense Response To Symbiont (GO:0140546),2.3719280383761723e-10,6.34194259260829e-08,7.7829749501219245,172.4874410688169,GBP5;APOBEC3D;IFNB1;STAT1;STAT2;IFIT5;NLRC5;DDX60L;IFIT3;IFIT2;IL6;IFNL2;IFNL1;ZNFX1;IRF1;IRF7;PMAIP1;IFNL3
Positive Regulation Of miRNA Metabolic Process (GO:2000630),1.5816332081322572e-08,3.7590149246609977e-06,14.153846153846153,254.23453745192563,FOSL1;EGR1;NGFR;JUN;PNPT1;ZC3H12A;FOS;KLF4;TNF;NFKB1
Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),2.386263028240835e-08,5.1042166174071465e-06,11.26757689893283,197.75670342999365,SOCS3;IL6;IFNL1;SOCS1;IL23A;LIF;IL12A;HES1;JAK2;PARP14;TNF
