Term,P_value,Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977),2.1574842286982793e-23,6.752925635825614e-21,4.456458463002965,232.58485916256467,BHLHE41;ZNF44;PRDM1;RBPJ;CHD2;ETS2;DBP;ZNF805;SIX4;ZNF280B;ZNF845;JUNB;NKX3-1;KLF10;ZNF441;KDM6B;KLF11;ZNF484;ZNF121;FOS;PROX1;ZNF57;ZNF14;THAP1;IRF1;DDIT3;IRF7;ZNF799;ATF3;IRF9;ZNF430;FOXC2;DLX2;NLRC5;ZBTB43;FOXO1;RELB;ZNF627;HIVEP1;ZSCAN12;HIVEP2;HDX;ZNF543;SKIL;ZNF267;EGR1;EGR2;JUN;EGR3;ZNF460;EGR4;ZNF184;STAT1;STAT2;ZBTB10;NR1D1;GRHL1;POU2F2;KLF4;NFKB1;NFKB2;FOSL1;NR4A2;PER1;NR4A1;TBX15;MEIS1;KLF6;NR4A3;MAFF;KLF9;ZNF615;CREBRF;REL;FOSB;SP8;MXD1;ZNF333;ZNF211
Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),2.4006169607857516e-22,3.756965543629701e-20,4.5390243902439025,225.95783711451406,BHLHE41;PRDM1;RBPJ;CHD2;ETS2;DBP;ZNF805;SIX4;ZNF280B;ZNF845;JUNB;NKX3-1;KLF10;KDM6B;KLF11;ZNF484;ZNF121;FOS;PROX1;THAP1;IRF1;DDIT3;IRF7;ATF3;IRF9;ZNF430;FOXC2;DLX2;NLRC5;ZBTB43;FOXO1;RELB;HIVEP1;ZSCAN12;HIVEP2;HDX;ZNF543;SKIL;ZNF267;EGR1;EGR2;JUN;EGR3;ZNF460;EGR4;ZNF184;STAT1;TIPARP;STAT2;NR1D1;GRHL1;FOXN2;POU2F2;KLF4;NFKB1;NFKB2;FOSL1;NR4A2;PER1;NR4A1;TBX15;MEIS1;KLF6;NR4A3;MAFF;KLF9;ZNF615;REL;FOSB;SP8;MXD1;ZNF333;ZNF211
RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978),3.7705912496905515e-21,3.933983537177142e-19,4.349488054607509,204.543614546766,BHLHE41;PRDM1;RBPJ;CHD2;ETS2;DBP;ZNF805;SIX4;ZNF280B;ZNF845;JUNB;NKX3-1;KLF10;KDM6B;KLF11;ZNF484;ZNF121;FOS;PROX1;THAP1;IRF1;DDIT3;IRF7;ATF3;IRF9;ZNF430;FOXC2;DLX2;NLRC5;ZBTB43;FOXO1;RELB;HIVEP1;ZSCAN12;HES1;HIVEP2;HDX;ZNF543;SKIL;ZNF267;EGR1;EGR2;JUN;EGR3;ZNF460;EGR4;ZNF184;STAT1;STAT2;NR1D1;GRHL1;POU2F2;KLF4;NFKB1;NFKB2;FOSL1;NR4A2;PER1;NR4A1;TBX15;MEIS1;KLF6;NR4A3;MAFF;KLF9;ZNF615;REL;FOSB;SP8;MXD1;ZNF333;ZNF211
Sequence-Specific Double-Stranded DNA Binding (GO:1990837),5.812320332658981e-15,4.047142944054707e-13,4.30603625631979,141.1466863181759,FOXC2;DLX2;BHLHE41;ZBTB43;ZBTB20;ARID4B;PRDM1;TNF;ETS2;DBP;SIX4;HIVEP1;HES1;JUNB;NKX3-1;KLF10;EGR1;KLF11;EGR2;JUN;EGR3;ZNF460;EGR4;NR1D1;FOS;PROX1;GRHL1;FOXN2;POU2F2;ETV3;KLF4;NFKB1;NFKB2;FOSL1;PER2;NR4A2;PER1;NR4A1;TBX15;KLF6;IRF1;DDIT3;MAFF;IRF7;FOSB;SP8;ATF3;IRF9
Sequence-Specific DNA Binding (GO:0043565),6.4650845751672635e-15,4.047142944054707e-13,4.292710528921645,140.25298506782264,CSRNP1;FOXC2;DLX2;BHLHE41;ZBTB21;ZBTB43;ZBTB20;PRDM1;RBPJ;FOXO1;ETS2;DBP;SIX4;HIVEP1;HES1;JUNB;NKX3-1;KLF10;EGR1;KLF11;EGR2;JUN;EGR3;ZNF460;EGR4;ZBTB10;NR1D1;FOS;PROX1;GRHL1;FOXN2;POU2F2;ETV3;KLF4;NFKB2;THAP1;FOSL1;NR4A2;NR4A1;TBX15;KLF6;TET3;MAFF;IRF7;FOSB;SP8;ATF3;IRF9
Double-Stranded DNA Binding (GO:0003690),2.828327432887266e-13,1.4754441441561902e-11,4.1861716823395785,120.95491256372547,FOXC2;DLX2;IFIT5;BHLHE41;ZBTB43;ZBTB20;PRDM1;ETS2;DBP;SIX4;HIVEP1;HES1;JUNB;NKX3-1;KLF10;EGR1;KLF11;EGR2;JUN;EGR3;ZNF460;EGR4;STAT1;NR1D1;FOS;PROX1;GRHL1;FOXN2;POU2F2;ETV3;KLF4;NFKB2;FOSL1;NR4A2;NR4A1;TBX15;KLF6;MAFF;IRF7;FOSB;SP8;ATF3;IRF9
"DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)",1.1105211485073223e-11,4.496733811779146e-10,5.226190476190476,131.82337266456815,FOXC2;RBPJ;FOXO1;DBP;ZNF845;ZNF267;KLF10;EGR1;ZNF484;EGR2;JUN;EGR4;FOS;GRHL1;KLF4;NFKB1;NFKB2;NR4A2;NR4A1;KLF6;MEIS1;NR4A3;DDIT3;IRF1;MAFF;ZNF615;CREBRF;REL;ATF3
Transcription Cis-Regulatory Region Binding (GO:0000976),1.1493249359179927e-11,4.496733811779146e-10,4.481117824773414,112.87604764819963,FOXC2;ZBTB20;ZNF44;ARID4B;TNF;DBP;ZNF627;NKX3-1;KLF10;ZNF441;EGR1;KLF11;EGR2;JUN;STAT1;TIPARP;ZBTB10;NR1D1;FOS;PROX1;ZNF57;GRHL1;FOXN2;POU2F2;KLF4;ZNF14;NFKB1;PER2;PER1;IRF1;DDIT3;CREBRF;ZNF799;ATF3
Transcription Regulatory Region Nucleic Acid Binding (GO:0001067),1.001331224794607e-09,3.482407481785689e-08,5.843624699278267,121.09121408972615,EGR1;FOXC2;KLF11;EGR2;JUN;ZBTB20;ARID4B;NR1D1;FOS;PROX1;GRHL1;POU2F2;KLF4;TNF;NFKB1;PER2;PER1;DDIT3;IRF1;ATF3;NKX3-1
"DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)",5.693211183902978e-07,1.781975100561632e-05,4.47492795389049,64.34418896012853,JUN;BHLHE41;ZBTB21;ZBTB10;ZNF77;NR1D1;PROX1;PRDM1;ETS2;NFKB1;THAP1;ZNF436;HES1;ZNF555;MXD1;ZNF764;SKIL;ATF3
RNA Polymerase II-specific DNA-binding Transcription Factor Binding (GO:0061629),4.870406759903773e-06,0.00013500648175238588,4.200248688976591,51.37884106960673,EGR2;JUN;DTX3L;STAT1;BHLHE41;BCL10;FOS;PROX1;RBPJ;KLF4;DLL1;ETS2;NFKBIA;DDIT3;NCOA7;HES1
Cytokine Activity (GO:0005125),5.175967351529172e-06,0.00013500648175238588,4.735494406226113,57.63799585813364,CSF3;CSF1;CCL20;GDF15;IFNB1;LIF;CXCL3;TNF;CXCL2;IL1A;BMP2;IL6;CCL2;IL12A
DNA Binding (GO:0003677),6.009985251078741e-06,0.00014470195258366506,2.461756903187236,29.59545877335702,CSRNP1;FOXC2;ZNF292;IFIT5;RBPJ;CHD2;FOXO1;ETS2;ZC3H12A;HES1;HIVEP2;JUNB;NKX3-1;KDM6B;EGR1;EGR2;JUN;EGR4;STAT1;PROX1;ARID3B;GRHL1;POU2F2;THAP1;NR4A2;PER1;NR4A1;MEIS1;NR4A3;XRN1;IRF1;DDIT3;MAFF;IRF7;FOSB
