Gene,Degree_Centrality,Betweenness_Centrality,Log2FoldChange,FDR,Significance
IRF1,0.8607594936708861,0.038428556247847204,3.056870340367332,0.000167475168827,Upregulated
FOSB,0.8607594936708861,0.015662790089216224,3.901624615694319,1.3165470560304046e-07,Upregulated
IER3,0.8481012658227848,0.018457203528857696,3.016424172437871,0.0009308817736038,Upregulated
CXCL2,0.8354430379746836,0.01567473620023969,5.2289847460805365,0.00113777160038,Upregulated
NFKBIZ,0.8354430379746836,0.019561297553009654,3.296284654890858,0.0012163062252415,Upregulated
PPP1R15A,0.8354430379746836,0.01448748073000711,4.088209009640995,0.0003052834603765,Upregulated
NR1D1,0.8354430379746836,0.011844127202753352,4.057192097242748,2.2307010429881783e-05,Upregulated
TIPARP,0.8227848101265822,0.018247901524109243,2.9905952390314603,0.0095987154876018,Upregulated
ATF3,0.7974683544303798,0.01527460040083318,3.7686513631415046,7.015956334491228e-05,Upregulated
C11orf96,0.7594936708860759,0.005368924239627801,4.808764911007951,0.0008104533249305,Upregulated
DUSP8,0.7594936708860759,0.006048106688039044,3.261937468590035,0.0005626604730978,Upregulated
CCNL1,0.7594936708860759,0.004824904173232946,2.7312453619967325,0.0019310508923617,Upregulated
MAFF,0.7468354430379747,0.01587163033078725,3.426817074229618,0.0038846681239487,Upregulated
BHLHE41,0.7468354430379747,0.0062822745300627186,3.964713700484122,0.0013038206238382,Upregulated
PER1,0.7468354430379747,0.0042835686247127075,3.8187098357014966,0.00113777160038,Upregulated
DLL1,0.7468354430379747,0.00468806538102216,2.680288298204444,0.0015915201461314,Upregulated
ZFP36,0.7468354430379747,0.004630140496722166,3.214477113338184,3.719559718931406e-05,Upregulated
SELE,0.7341772151898734,0.003635505299486871,4.516795377924065,0.0015321346584945,Upregulated
NFKBID,0.7341772151898734,0.004046045262319867,3.1607628085144013,0.00160330545498,Upregulated
EGR2,0.7341772151898734,0.004740403303365295,4.619830838770572,0.000167475168827,Upregulated
LTB,0.7341772151898734,0.011860530844579529,4.187057364962536,0.0016700678438381,Upregulated
PCK1,0.7341772151898734,0.007807045319287262,3.439532505123112,0.0040913232995891,Upregulated
GRHL1,0.7341772151898734,0.007090179632884499,2.818522494840929,0.0088518355352497,Upregulated
EFNA1,0.7215189873417721,0.0034585801060996423,3.5151689274534856,0.0052881652636342,Upregulated
UBASH3A,0.7215189873417721,0.003981946921203333,3.424651337006364,0.0065602555298998,Upregulated
CCL2,0.7088607594936709,0.0028961415896030956,2.8499094264126974,0.0006519231578756,Upregulated
NFKBIA,0.7088607594936709,0.0036942856174874933,4.214678914802958,0.000148519485473,Upregulated
TNF,0.7088607594936709,0.01843741499239982,5.556290824450183,0.0008301921032984,Upregulated
SERPINA10,0.7088607594936709,0.0030379981184688017,3.551945786519433,0.0037671005678456,Upregulated
PPP4R4,0.7088607594936709,0.002739511787811645,4.642033877993532,0.0044354675421704,Upregulated
TNFAIP3,0.6962025316455696,0.0032543970749456387,4.765753459232666,0.0004903383337498,Upregulated
ICAM5,0.6835443037974683,0.002380449017207889,3.0459971344749306,0.0037671005678456,Upregulated
SLCO5A1,0.6835443037974683,0.0021640818484645985,3.033694470014609,0.0023533386008052,Upregulated
ARRDC3,0.6835443037974683,0.002379249926474378,3.874887743959068,0.0038205671238432,Upregulated
KCNN1,0.6708860759493671,0.0017150760915748246,2.989681413486477,0.0064259829512003,Upregulated
CXCL3,0.6582278481012658,0.010588580313096044,4.410573096215663,0.0047499681856068,Upregulated
PTX3,0.6582278481012658,0.01018288477031342,3.928945666372669,0.0128429897963233,Upregulated
BRE-AS1,0.6582278481012658,0.0016962667420126298,3.292801681504105,0.004453166391585,Upregulated
NR4A3,0.6455696202531646,0.0014362928535163956,3.687377166480661,0.0014351382222725,Upregulated
DCAF4L1,0.620253164556962,0.0010934354963408454,2.7110280725437965,0.0389805466977921,Upregulated
ZNF57,0.620253164556962,0.0011621256407787271,3.240266739617743,0.0454372725768865,Upregulated
CCL20,0.6075949367088608,0.006048239189585156,5.610950059866239,0.0105190733046906,Upregulated
EGR1,0.6075949367088608,0.002750140154099855,6.189342000666227,0.0042097900476914,Upregulated
CSRNP1,0.6075949367088608,0.0006104612918013766,3.0854641481299385,0.0059142704315911,Upregulated
CREBRF,0.6075949367088608,0.0006104612918013766,2.6973541493465643,0.0064551543021925,Upregulated
KLF10,0.6075949367088608,0.0006104612918013766,2.72343308227134,0.0017805653684548,Upregulated
ZBTB10,0.6075949367088608,0.0006104612918013766,3.122388815168102,0.0031649294457232,Upregulated
ZNF77,0.5949367088607594,0.0004930228052017112,2.994750632004668,0.0393124004059398,Upregulated
SNORA31,0.5822784810126582,0.0004074889959965035,2.844947086609033,0.0396516075724169,Upregulated
PROX1,0.5822784810126582,0.0004074889959965035,2.8414614272115246,0.0344069379730841,Upregulated
PDZD2,0.5822784810126582,0.010240091187530921,2.877503903056221,0.0176835845252336,Upregulated
REL,0.569620253164557,0.0004232988024198483,2.6928363883338102,0.0126188102345753,Upregulated
JUNB,0.5569620253164557,0.006371204869140291,2.761919184892072,0.0025055251363303,Upregulated
ZBTB20,0.5569620253164557,0.002823872332364346,2.8404777387609057,0.0011459018395808,Upregulated
